HRR,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
"Omaha, NE",4017 ,449 ,1742 ,2879 ,184 ,317 ,1010995 ,195073 ,202199 ,42124 ,9060 ,2808 ,2 ,98%,70%,"1,404",81%,49%,35%,916,53%,32%,23%,604,328%,191%,135%,302,164%,95%,67%,197,107%,62%,44%
"Orange County, CA",5813 ,690 ,2236 ,4024 ,293 ,491 ,2662559 ,456181 ,532512 ,109845 ,23341 ,7323 ,3 ,182%,126%,"3,662",164%,91%,63%,"2,388",107%,59%,41%,"1,556",531%,317%,226%,778,266%,158%,113%,507,173%,103%,73%
"Orlando, FL",10004 ,1284 ,3292 ,6648 ,448 ,866 ,3130935 ,714153 ,626187 ,132544 ,29051 ,8836 ,3 ,133%,88%,"4,418",134%,66%,44%,"2,881",88%,43%,29%,"1,937",432%,224%,151%,968,216%,112%,75%,632,141%,73%,49%
"Ormond Beach, FL",872 ,158 ,359 ,616 ,63 ,110 ,338880 ,108815 ,67776 ,14945 ,3429 ,996 ,3 ,162%,114%,498,139%,81%,57%,325,91%,53%,37%,229,363%,208%,145%,114,181%,104%,72%,75,119%,68%,47%
"Owensboro, KY",390 ,36 ,175 ,282 ,14 ,25 ,112038 ,24900 ,22408 ,4731 ,1034 ,315 ,2 ,112%,81%,158,90%,56%,41%,103,59%,37%,26%,69,493%,276%,192%,34,243%,136%,94%,22,157%,88%,61%
"Oxford, MS",835 ,29 ,344 ,589 ,15 ,22 ,116854 ,21977 ,23371 ,4858 ,1042 ,324 ,1 ,55%,39%,162,47%,28%,19%,106,31%,18%,13%,69,460%,314%,238%,35,233%,159%,121%,23,153%,105%,79%
"Paducah, KY",1490 ,117 ,779 ,1134 ,57 ,87 ,290227 ,70421 ,58045 ,12367 ,2731 ,824 ,1 ,73%,55%,412,53%,36%,28%,269,35%,24%,18%,182,319%,209%,156%,91,160%,105%,78%,59,104%,68%,50%
"Palm Springs/Rancho Mira, CA",974 ,69 ,404 ,689 ,23 ,46 ,305976 ,94312 ,61195 ,13419 ,3060 ,895 ,2 ,130%,92%,447,111%,65%,46%,292,72%,42%,30%,204,887%,443%,296%,102,443%,222%,148%,67,291%,146%,97%
"Paterson, NJ",1164 ,84 ,527 ,845 ,12 ,48 ,310775 ,60087 ,62155 ,12951 ,2786 ,863 ,2 ,102%,74%,432,82%,51%,37%,282,54%,33%,24%,186,1550%,388%,221%,93,775%,194%,111%,61,508%,127%,73%
"Pensacola, FL",2001 ,230 ,755 ,1378 ,91 ,160 ,636854 ,130505 ,127371 ,26680 ,5776 ,1779 ,2 ,129%,89%,889,118%,65%,44%,580,77%,42%,29%,385,423%,241%,167%,193,212%,121%,84%,126,138%,79%,55%
"Peoria, IL",1725 ,156 ,643 ,1184 ,71 ,114 ,469070 ,106095 ,93814 ,19840 ,4344 ,1323 ,2 ,112%,77%,661,103%,56%,38%,431,67%,36%,25%,290,408%,254%,186%,145,204%,127%,93%,94,132%,82%,60%
"Petoskey, MI",476 ,68 ,178 ,327 ,22 ,45 ,142627 ,37819 ,28525 ,6138 ,1371 ,409 ,2 ,125%,86%,205,115%,63%,43%,133,75%,41%,28%,91,414%,202%,134%,46,209%,102%,68%,30,136%,67%,44%
"Philadelphia, PA",10697 ,1257 ,3634 ,7165 ,546 ,902 ,3331376 ,632032 ,666275 ,138601 ,29757 ,9240 ,3 ,129%,86%,"4,620",127%,64%,43%,"3,013",83%,42%,28%,"1,984",363%,220%,158%,992,182%,110%,79%,647,118%,72%,51%
"Phoenix, AZ",6977 ,957 ,2567 ,4772 ,416 ,687 ,2761090 ,532669 ,552218 ,115042 ,24742 ,7669 ,3 ,161%,110%,"3,835",149%,80%,55%,"2,501",97%,52%,36%,"1,649",396%,240%,172%,825,198%,120%,86%,538,129%,78%,56%
"Pittsburgh, PA",8133 ,1079 ,2738 ,5436 ,420 ,749 ,2324172 ,541967 ,464834 ,98616 ,21672 ,6574 ,2 ,121%,81%,"3,287",120%,60%,40%,"2,144",78%,39%,26%,"1,445",344%,193%,134%,722,172%,96%,67%,471,112%,63%,44%
"Pontiac, MI",911 ,95 ,321 ,616 ,49 ,72 ,376936 ,70983 ,75387 ,15672 ,3362 ,1045 ,3 ,170%,115%,522,163%,85%,57%,341,106%,55%,37%,224,457%,311%,236%,112,229%,156%,118%,73,149%,101%,77%
"Portland, ME",2524 ,209 ,710 ,1617 ,92 ,151 ,876231 ,194509 ,175246 ,36992 ,8082 ,2466 ,3 ,153%,98%,"1,233",174%,76%,49%,804,113%,50%,32%,539,586%,357%,258%,269,292%,178%,129%,176,191%,117%,84%
"Portland, OR",4684 ,661 ,1737 ,3211 ,278 ,469 ,2215589 ,412976 ,443118 ,92039 ,19724 ,6136 ,4 ,191%,131%,"3,068",177%,96%,65%,"2,001",115%,62%,43%,"1,315",473%,280%,199%,657,236%,140%,99%,429,154%,91%,65%
"Providence, RI",2249 ,293 ,690 ,1470 ,82 ,188 ,986702 ,192737 ,197340 ,41157 ,8863 ,2744 ,4 ,187%,122%,"1,372",199%,93%,61%,895,130%,61%,40%,591,721%,314%,202%,295,360%,157%,101%,193,235%,103%,66%
"Provo, UT",941 ,122 ,387 ,664 ,52 ,87 ,436975 ,52585 ,87395 ,17604 ,3630 ,1174 ,3 ,177%,125%,587,152%,88%,62%,383,99%,58%,41%,242,465%,278%,198%,121,233%,139%,99%,79,152%,91%,65%
"Pueblo, CO",615 ,28 ,238 ,426 ,7 ,17 ,138550 ,32449 ,27710 ,5881 ,1293 ,392 ,2 ,92%,64%,196,82%,46%,32%,128,54%,30%,21%,86,1229%,506%,307%,43,614%,253%,154%,28,400%,165%,100%
"Raleigh, NC",3560 ,375 ,1124 ,2342 ,160 ,267 ,1670043 ,272076 ,334009 ,68631 ,14513 ,4575 ,4 ,195%,129%,"2,288",204%,98%,64%,"1,492",133%,64%,42%,968,605%,363%,258%,484,303%,181%,129%,316,198%,118%,84%
"Rapid City, SD",878 ,46 ,343 ,610 ,20 ,33 ,173590 ,37388 ,34718 ,7307 ,1591 ,487 ,1 ,80%,55%,244,71%,40%,28%,159,46%,26%,18%,106,530%,321%,230%,53,265%,161%,115%,35,175%,106%,76%
"Reading, PA",1329 ,99 ,559 ,944 ,50 ,75 ,466917 ,99775 ,93383 ,19638 ,4272 ,1309 ,2 ,139%,98%,655,117%,69%,49%,427,76%,45%,32%,285,570%,380%,288%,142,284%,189%,143%,93,186%,124%,94%
"Redding, CA",786 ,109 ,284 ,535 ,58 ,83 ,276179 ,64591 ,55236 ,11722 ,2577 ,781 ,3 ,146%,99%,391,138%,73%,50%,255,90%,48%,32%,172,297%,207%,158%,86,148%,104%,79%,56,97%,67%,51%
"Reno, NV",1886 ,406 ,660 ,1273 ,128 ,267 ,605953 ,127753 ,121191 ,25454 ,5528 ,1697 ,3 ,133%,90%,848,128%,67%,45%,553,84%,43%,29%,369,288%,138%,91%,184,144%,69%,45%,120,94%,45%,30%
"Richmond, VA",4478 ,465 ,1488 ,2983 ,144 ,305 ,1409076 ,264187 ,281815 ,58564 ,12558 ,3904 ,3 ,131%,87%,"1,952",131%,65%,44%,"1,273",86%,43%,28%,837,581%,274%,180%,419,291%,137%,90%,273,190%,90%,59%
"Ridgewood, NJ",814 ,83 ,275 ,544 ,35 ,59 ,338732 ,65551 ,67746 ,14117 ,3037 ,941 ,3 ,173%,116%,471,171%,87%,58%,307,112%,56%,38%,202,577%,342%,243%,101,289%,171%,122%,66,189%,112%,80%
"Roanoke, VA",2189 ,272 ,593 ,1391 ,113 ,192 ,569741 ,127897 ,113948 ,24080 ,5268 ,1605 ,3 ,115%,73%,803,135%,58%,37%,523,88%,38%,24%,351,311%,183%,129%,176,156%,92%,65%,115,102%,60%,42%
"Rochester, MN",1835 ,240 ,594 ,1215 ,90 ,165 ,320367 ,71522 ,64073 ,13533 ,2959 ,902 ,2 ,74%,49%,451,76%,37%,25%,294,49%,24%,16%,197,219%,119%,82%,99,110%,60%,41%,64,71%,39%,27%
"Rochester, NY",3766 ,289 ,827 ,2297 ,87 ,188 ,1036499 ,211611 ,207300 ,43408 ,9393 ,2894 ,4 ,126%,77%,"1,447",175%,63%,38%,944,114%,41%,25%,626,720%,333%,217%,313,360%,166%,108%,204,234%,109%,71%
"Rockford, IL",1320 ,199 ,613 ,966 ,96 ,147 ,552131 ,118035 ,110426 ,23224 ,5052 ,1548 ,3 ,160%,117%,774,126%,80%,59%,505,82%,52%,38%,337,351%,229%,169%,168,175%,114%,84%,110,115%,75%,55%
"Rome, GA",733 ,74 ,229 ,481 ,16 ,45 ,221920 ,45706 ,44384 ,9301 ,2015 ,620 ,3 ,129%,85%,310,135%,64%,42%,202,88%,42%,28%,134,838%,298%,181%,67,419%,149%,91%,44,275%,98%,59%
"Royal Oak, MI",2781 ,324 ,858 ,1819 ,97 ,211 ,556198 ,117512 ,111240 ,23368 ,5076 ,1558 ,2 ,86%,56%,779,91%,43%,28%,508,59%,28%,18%,338,348%,160%,104%,169,174%,80%,52%,110,113%,52%,34%
"Sacramento, CA",4381 ,616 ,1315 ,2848 ,224 ,420 ,2076640 ,403030 ,415328 ,86570 ,18631 ,5771 ,4 ,203%,132%,"2,886",219%,101%,66%,"1,882",143%,66%,43%,"1,242",554%,296%,202%,621,277%,148%,101%,405,181%,96%,66%
"Saginaw, MI",2396 ,208 ,962 ,1679 ,63 ,136 ,489824 ,124235 ,97965 ,20974 ,4658 ,1398 ,1 ,83%,58%,699,73%,42%,29%,456,47%,27%,19%,311,494%,229%,150%,155,246%,114%,75%,101,160%,74%,49%
"Salem, OR",487 ,64 ,154 ,321 ,10 ,37 ,255161 ,50897 ,51032 ,10663 ,2302 ,711 ,5 ,221%,146%,355,231%,111%,73%,232,151%,72%,48%,153,1530%,414%,239%,77,770%,208%,120%,50,500%,135%,78%
"Salinas, CA",740 ,70 ,290 ,515 ,37 ,54 ,303247 ,51843 ,60649 ,12508 ,2657 ,834 ,3 ,162%,113%,417,144%,81%,56%,272,94%,53%,37%,177,478%,328%,253%,89,241%,165%,127%,58,157%,107%,83%
"Salisbury, MD",598 ,59 ,187 ,392 ,26 ,43 ,371513 ,100254 ,74303 ,16022 ,3587 ,1068 ,6 ,272%,179%,534,286%,136%,89%,348,186%,89%,58%,239,919%,556%,405%,120,462%,279%,203%,78,300%,181%,132%
"Salt Lake City, UT",3999 ,526 ,1804 ,2902 ,277 ,402 ,1552687 ,249737 ,310537 ,63747 ,13464 ,4250 ,2 ,146%,106%,"2,125",118%,73%,53%,"1,386",77%,48%,35%,898,324%,223%,171%,449,162%,112%,85%,293,106%,73%,56%
"San Angelo, TX",584 ,35 ,323 ,454 ,17 ,26 ,126084 ,26085 ,25217 ,5287 ,1146 ,352 ,1 ,78%,60%,176,54%,39%,30%,115,36%,25%,20%,76,447%,292%,217%,38,224%,146%,109%,25,147%,96%,71%
"San Antonio, TX",6234 ,747 ,2477 ,4356 ,216 ,482 ,2191766 ,376149 ,438353 ,90434 ,19219 ,6029 ,2 ,138%,97%,"3,014",122%,69%,48%,"1,966",79%,45%,32%,"1,281",593%,266%,171%,641,297%,133%,86%,418,194%,87%,56%
"San Bernardino, CA",5691 ,690 ,2125 ,3908 ,231 ,460 ,2406889 ,366977 ,481378 ,98434 ,20690 ,6562 ,3 ,168%,115%,"3,281",154%,84%,58%,"2,140",101%,55%,38%,"1,379",597%,300%,200%,690,299%,150%,100%,450,195%,98%,65%
"San Diego, CA",6178 ,802 ,1949 ,4064 ,358 ,580 ,3005567 ,497077 ,601113 ,123656 ,26186 ,8244 ,4 ,203%,133%,"4,122",211%,101%,67%,"2,688",138%,66%,44%,"1,746",488%,301%,218%,873,244%,151%,109%,569,159%,98%,71%
"San Francisco, CA",3776 ,439 ,1139 ,2458 ,203 ,321 ,1272753 ,236390 ,254551 ,52856 ,11323 ,3524 ,3 ,143%,93%,"1,762",155%,72%,47%,"1,149",101%,47%,30%,755,372%,235%,172%,377,186%,117%,86%,246,121%,77%,56%
"San Jose, CA",2547 ,341 ,916 ,1731 ,146 ,244 ,1456607 ,234573 ,291321 ,59808 ,12634 ,3987 ,4 ,230%,157%,"1,994",218%,115%,78%,"1,300",142%,75%,51%,842,577%,345%,247%,421,288%,173%,123%,275,188%,113%,81%
"San Luis Obispo, CA",390 ,54 ,202 ,296 ,33 ,44 ,213703 ,46965 ,42741 ,9013 ,1967 ,601 ,3 ,203%,154%,300,149%,101%,77%,196,97%,66%,50%,131,397%,298%,243%,66,200%,150%,122%,43,130%,98%,80%
"San Mateo County, CA",1555 ,198 ,452 ,1003 ,88 ,143 ,666874 ,128195 ,133375 ,27777 ,5972 ,1852 ,4 ,185%,119%,926,205%,92%,60%,604,134%,60%,39%,398,452%,278%,201%,199,226%,139%,101%,130,148%,91%,66%
"Santa Barbara, CA",858 ,82 ,246 ,552 ,35 ,59 ,359828 ,67153 ,71966 ,14949 ,3204 ,997 ,4 ,181%,116%,498,202%,90%,58%,325,132%,59%,38%,214,611%,363%,261%,107,306%,181%,130%,70,200%,119%,85%
"Santa Cruz, CA",359 ,22 ,169 ,264 ,6 ,14 ,229413 ,39590 ,45883 ,9470 ,2014 ,631 ,4 ,239%,176%,316,187%,120%,88%,206,122%,78%,57%,134,2233%,957%,609%,67,1117%,479%,305%,44,733%,314%,200%
"Santa Rosa, CA",1272 ,93 ,306 ,789 ,45 ,69 ,402885 ,88435 ,80577 ,16990 ,3707 ,1133 ,4 ,144%,89%,566,185%,72%,44%,369,121%,47%,29%,247,549%,358%,266%,124,276%,180%,133%,81,180%,117%,87%
"Sarasota, FL",1309 ,159 ,604 ,957 ,77 ,118 ,374960 ,156791 ,74992 ,17228 ,4122 ,1149 ,2 ,120%,88%,574,95%,60%,44%,375,62%,39%,29%,275,357%,233%,173%,137,178%,116%,86%,90,117%,76%,57%
"Savannah, GA",2050 ,163 ,650 ,1350 ,55 ,109 ,701923 ,139656 ,140385 ,29327 ,6328 ,1955 ,3 ,145%,95%,978,150%,72%,48%,638,98%,47%,31%,422,767%,387%,259%,211,384%,194%,129%,138,251%,127%,85%
"Sayre, PA",591 ,62 ,215 ,403 ,28 ,45 ,153089 ,36987 ,30618 ,6520 ,1439 ,435 ,2 ,108%,74%,217,101%,54%,37%,142,66%,35%,24%,96,343%,213%,155%,48,171%,107%,77%,31,111%,69%,50%
"Scranton, PA",782 ,65 ,324 ,553 ,31 ,48 ,253817 ,63450 ,50763 ,10851 ,2405 ,723 ,2 ,131%,92%,362,112%,65%,46%,236,73%,43%,30%,160,516%,333%,246%,80,258%,167%,123%,52,168%,108%,80%
"Seattle, WA",4700 ,651 ,1366 ,3033 ,209 ,430 ,2421217 ,421176 ,484243 ,100009 ,21282 ,6667 ,5 ,220%,142%,"3,334",244%,110%,71%,"2,174",159%,72%,46%,"1,419",679%,330%,218%,709,339%,165%,109%,463,222%,108%,71%
"Shreveport, LA",2468 ,283 ,1080 ,1774 ,111 ,197 ,531003 ,109269 ,106201 ,22254 ,4820 ,1484 ,1 ,84%,60%,742,69%,42%,30%,484,45%,27%,20%,321,289%,163%,113%,161,145%,82%,57%,105,95%,53%,37%
"Sioux City, IA",909 ,59 ,362 ,635 ,23 ,41 ,195685 ,41561 ,39137 ,8226 ,1788 ,548 ,2 ,86%,60%,274,76%,43%,30%,179,49%,28%,20%,119,517%,290%,202%,60,261%,146%,102%,39,170%,95%,66%
"Sioux Falls, SD",4065 ,103 ,1653 ,2859 ,52 ,77 ,603563 ,129561 ,120713 ,25397 ,5527 ,1693 ,1 ,59%,42%,847,51%,30%,21%,552,33%,19%,14%,368,708%,478%,357%,184,354%,239%,179%,120,231%,156%,117%
"Slidell, LA",536 ,137 ,338 ,437 ,70 ,103 ,149492 ,32656 ,29898 ,6301 ,1374 ,420 ,1 ,96%,78%,210,62%,48%,39%,137,41%,31%,26%,92,131%,89%,67%,46,66%,45%,34%,30,43%,29%,22%
"South Bend, IN",1273 ,148 ,551 ,912 ,70 ,109 ,539539 ,108077 ,107908 ,22556 ,4871 ,1504 ,3 ,165%,118%,752,136%,82%,59%,490,89%,54%,38%,325,464%,298%,220%,162,231%,149%,109%,106,151%,97%,72%
"Spartanburg, SC",809 ,125 ,280 ,545 ,65 ,95 ,300991 ,64361 ,60198 ,12660 ,2754 ,844 ,3 ,155%,104%,422,151%,77%,52%,275,98%,50%,34%,184,283%,194%,147%,92,142%,97%,74%,60,92%,63%,48%
"Spokane, WA",3652 ,355 ,1657 ,2655 ,134 ,245 ,1210559 ,251604 ,242112 ,50782 ,11011 ,3385 ,2 ,127%,93%,"1,693",102%,64%,46%,"1,104",67%,42%,30%,734,548%,300%,207%,367,274%,150%,103%,239,178%,98%,67%
"Springdale, AR",1144 ,135 ,616 ,880 ,73 ,104 ,437572 ,77638 ,87514 ,18103 ,3860 ,1207 ,2 ,137%,106%,603,98%,69%,53%,394,64%,45%,34%,257,352%,247%,190%,129,177%,124%,96%,84,115%,81%,62%
"Springfield, IL",2426 ,213 ,1172 ,1799 ,79 ,146 ,637463 ,146057 ,127493 ,26999 ,5921 ,1800 ,2 ,100%,74%,900,77%,50%,37%,587,50%,33%,24%,395,500%,271%,185%,197,249%,135%,92%,129,163%,88%,61%
"Springfield, MA",1588 ,195 ,500 ,1044 ,73 ,134 ,600306 ,123079 ,120061 ,25150 ,5445 ,1677 ,3 ,161%,106%,838,168%,80%,53%,547,109%,52%,34%,363,497%,271%,186%,182,249%,136%,93%,118,162%,88%,61%
"Springfield, MO",2078 ,226 ,819 ,1449 ,67 ,147 ,688462 ,166812 ,137692 ,29331 ,6476 ,1955 ,2 ,135%,94%,978,119%,67%,47%,638,78%,44%,31%,432,645%,294%,191%,216,322%,147%,96%,141,210%,96%,62%
"St. Cloud, MN",898 ,45 ,227 ,563 ,16 ,31 ,203089 ,38678 ,40618 ,8452 ,1815 ,563 ,2 ,100%,63%,282,124%,50%,31%,184,81%,33%,20%,121,756%,390%,269%,60,375%,194%,133%,39,244%,126%,87%
"St. Joseph, MI",393 ,20 ,238 ,316 ,9 ,14 ,110235 ,26066 ,22047 ,4684 ,1031 ,312 ,1 ,99%,79%,156,66%,49%,40%,102,43%,32%,26%,69,767%,493%,345%,34,378%,243%,170%,22,244%,157%,110%
"St. Louis, MO",10187 ,1180 ,4326 ,7257 ,547 ,864 ,2666497 ,532142 ,533299 ,111438 ,24055 ,7429 ,2 ,102%,73%,"3,715",86%,51%,36%,"2,423",56%,33%,24%,"1,604",293%,186%,136%,802,147%,93%,68%,523,96%,61%,44%
"St. Paul, MN",1604 ,183 ,582 ,1093 ,48 ,116 ,856536 ,148362 ,171307 ,35367 ,7523 ,2358 ,4 ,216%,147%,"1,179",203%,108%,74%,769,132%,70%,48%,502,1046%,433%,274%,251,523%,216%,137%,164,342%,141%,90%
"St. Petersburg, FL",1424 ,139 ,613 ,1018 ,33 ,86 ,354891 ,90670 ,70978 ,15209 ,3381 ,1014 ,2 ,100%,71%,507,83%,50%,36%,331,54%,33%,23%,225,682%,262%,162%,113,342%,131%,81%,74,224%,86%,53%
"Stockton, CA",918 ,121 ,329 ,623 ,41 ,81 ,464979 ,77159 ,92996 ,19135 ,4054 ,1276 ,4 ,205%,139%,638,194%,102%,69%,416,126%,67%,45%,270,659%,333%,223%,135,329%,167%,112%,88,215%,109%,73%
"Sun City, AZ",845 ,119 ,364 ,604 ,81 ,100 ,237503 ,104547 ,47501 ,11012 ,2658 ,734 ,2 ,122%,87%,367,101%,61%,43%,239,66%,40%,28%,177,219%,177%,149%,89,110%,89%,75%,58,72%,58%,49%
"Syracuse, NY",3062 ,243 ,950 ,2006 ,77 ,160 ,832908 ,165881 ,166582 ,34802 ,7511 ,2320 ,2 ,116%,76%,"1,160",122%,58%,38%,757,80%,38%,25%,501,651%,313%,206%,250,325%,156%,103%,163,212%,102%,67%
"Tacoma, WA",1388 ,197 ,366 ,877 ,62 ,129 ,642251 ,109410 ,128450 ,26484 ,5624 ,1766 ,5 ,201%,127%,883,241%,101%,64%,576,157%,66%,41%,375,605%,291%,190%,187,302%,145%,95%,122,197%,95%,62%
"Takoma Park, MD",1181 ,150 ,294 ,738 ,48 ,99 ,789639 ,122832 ,157928 ,32340 ,6810 ,2156 ,7 ,292%,183%,"1,078",367%,146%,91%,703,239%,95%,60%,454,946%,459%,303%,227,473%,229%,151%,148,308%,149%,99%
"Tallahassee, FL",2242 ,193 ,603 ,1423 ,50 ,122 ,668985 ,118753 ,133797 ,27678 ,5902 ,1845 ,3 ,130%,82%,923,153%,65%,41%,602,100%,42%,27%,393,786%,322%,204%,197,394%,161%,102%,128,256%,105%,66%
"Tampa, FL",4005 ,515 ,1289 ,2647 ,165 ,340 ,1170264 ,218181 ,234053 ,48616 ,10418 ,3241 ,3 ,122%,81%,"1,621",126%,61%,40%,"1,057",82%,40%,26%,695,421%,204%,135%,347,210%,102%,67%,226,137%,66%,44%
"Temple, TX",985 ,162 ,390 ,688 ,50 ,106 ,409683 ,59971 ,81937 ,16707 ,3499 ,1114 ,3 ,162%,113%,557,143%,81%,57%,363,93%,53%,37%,233,466%,220%,144%,117,234%,110%,72%,76,152%,72%,47%
"Terre Haute, IN",468 ,64 ,207 ,337 ,37 ,50 ,140148 ,28559 ,28030 ,5868 ,1270 ,391 ,2 ,116%,84%,196,95%,58%,42%,128,62%,38%,27%,85,230%,170%,133%,42,114%,84%,66%,28,76%,56%,44%
"Texarkana, AR",656 ,90 ,383 ,519 ,62 ,76 ,198305 ,43677 ,39661 ,8365 ,1826 ,558 ,1 ,108%,85%,279,73%,54%,43%,182,48%,35%,28%,122,197%,161%,136%,61,98%,80%,68%,40,65%,53%,44%
"Toledo, OH",2679 ,456 ,1122 ,1900 ,179 ,317 ,767671 ,155817 ,153534 ,32132 ,6949 ,2142 ,2 ,113%,80%,"1,071",95%,56%,40%,699,62%,37%,26%,463,259%,146%,102%,232,130%,73%,51%,151,84%,48%,33%
"Topeka, KS",1304 ,112 ,594 ,949 ,49 ,80 ,352693 ,68579 ,70539 ,14705 ,3165 ,980 ,2 ,103%,75%,490,82%,52%,38%,320,54%,34%,25%,211,431%,264%,188%,106,216%,133%,95%,69,141%,86%,62%
"Traverse City, MI",756 ,26 ,293 ,525 ,7 ,17 ,189619 ,52436 ,37924 ,8202 ,1842 ,547 ,2 ,104%,72%,273,93%,52%,36%,178,61%,34%,24%,123,1757%,724%,473%,61,871%,359%,235%,40,571%,235%,154%
"Tucson, AZ",2677 ,335 ,1184 ,1930 ,161 ,248 ,971119 ,232066 ,194224 ,41312 ,9106 ,2754 ,2 ,143%,103%,"1,377",116%,71%,51%,898,76%,47%,34%,607,377%,245%,181%,304,189%,123%,91%,198,123%,80%,59%
"Tulsa, OK",4185 ,486 ,1783 ,2984 ,159 ,323 ,1070712 ,213442 ,214142 ,44742 ,9657 ,2983 ,2 ,100%,71%,"1,491",84%,50%,36%,973,55%,33%,23%,644,405%,199%,133%,322,203%,100%,66%,210,132%,65%,43%
"Tupelo, MS",1634 ,104 ,818 ,1226 ,61 ,83 ,308796 ,61185 ,61759 ,12897 ,2782 ,860 ,1 ,70%,53%,430,53%,35%,26%,280,34%,23%,17%,185,303%,223%,178%,93,152%,112%,89%,60,98%,72%,58%
"Tuscaloosa, AL",1066 ,143 ,297 ,681 ,37 ,90 ,215194 ,37920 ,43039 ,8898 ,1896 ,593 ,2 ,87%,56%,297,100%,44%,28%,193,65%,28%,18%,126,341%,140%,88%,63,170%,70%,44%,41,111%,46%,29%
"Tyler, TX",1338 ,224 ,527 ,932 ,127 ,176 ,437181 ,98736 ,87436 ,18489 ,4048 ,1233 ,2 ,132%,92%,616,117%,66%,46%,402,76%,43%,30%,270,213%,153%,121%,135,106%,77%,60%,88,69%,50%,39%
"Urbana, IL",1047 ,99 ,480 ,764 ,54 ,77 ,361763 ,69031 ,72353 ,15059 ,3235 ,1004 ,2 ,131%,96%,502,105%,66%,48%,327,68%,43%,31%,216,400%,281%,218%,108,200%,140%,109%,70,130%,91%,71%
"Ventura, CA",1087 ,163 ,278 ,682 ,94 ,128 ,669683 ,124579 ,133937 ,27815 ,5959 ,1854 ,7 ,272%,171%,927,333%,136%,85%,605,218%,89%,56%,397,422%,310%,244%,199,212%,155%,122%,130,138%,102%,80%
"Victoria, TX",574 ,46 ,352 ,463 ,18 ,32 ,115052 ,25536 ,23010 ,4857 ,1061 ,324 ,1 ,70%,56%,162,46%,35%,28%,106,30%,23%,18%,71,394%,222%,154%,35,194%,109%,76%,23,128%,72%,50%
"Waco, TX",720 ,60 ,261 ,490 ,24 ,42 ,264389 ,54218 ,52878 ,11077 ,2398 ,738 ,3 ,151%,103%,369,141%,75%,51%,241,92%,49%,33%,160,667%,381%,267%,80,333%,190%,133%,52,217%,124%,87%
"Washington, DC",5055 ,601 ,1595 ,3325 ,218 ,409 ,2179021 ,378878 ,435804 ,90001 ,19152 ,6000 ,4 ,180%,119%,"3,000",188%,90%,59%,"1,957",123%,59%,39%,"1,277",586%,312%,212%,638,293%,156%,106%,416,191%,102%,69%
"Waterloo, IA",668 ,36 ,340 ,504 ,19 ,28 ,167837 ,36303 ,33567 ,7067 ,1539 ,471 ,1 ,93%,71%,236,69%,47%,35%,154,45%,31%,23%,103,542%,368%,286%,51,268%,182%,142%,33,174%,118%,92%
"Wausau, WI",403 ,72 ,152 ,278 ,45 ,59 ,150679 ,36287 ,30136 ,6415 ,1415 ,428 ,3 ,154%,106%,214,141%,77%,53%,139,91%,50%,34%,94,209%,159%,131%,47,104%,80%,65%,31,69%,53%,43%
"White Plains, NY",2973 ,243 ,597 ,1785 ,137 ,190 ,896882 ,178478 ,179376 ,37473 ,8086 ,2498 ,4 ,140%,84%,"1,249",209%,70%,42%,815,137%,46%,27%,539,393%,284%,222%,270,197%,142%,111%,176,128%,93%,72%
"Wichita Falls, TX",516 ,24 ,298 ,407 ,8 ,16 ,154615 ,31786 ,30923 ,6479 ,1403 ,432 ,1 ,106%,84%,216,72%,53%,42%,141,47%,35%,27%,94,1175%,588%,392%,47,588%,294%,196%,30,375%,188%,125%
"Wichita, KS",4590 ,442 ,2225 ,3407 ,202 ,322 ,951715 ,198669 ,190343 ,39940 ,8664 ,2663 ,1 ,78%,58%,"1,331",60%,39%,29%,868,39%,25%,19%,578,286%,180%,131%,289,143%,90%,65%,188,93%,58%,43%
